GEOID,ALAND,AWATER,INTPTLAT,INTPTLON,city,pop,perc_rent,perc_occ,housing_price,rent,rent_1br,under_10_p,over_65_p,median_age,white_p,black_p,native_amr_p,asian_p,hispanic_p,pov_p,no_hs_p,no_college_p,bach_degree_p,graduate_degree_p,med_hou_inc,km,pop_dens,res_tree,res_grass,street_tree,park_tree,park_grass,other_tree,other_grass,Shape_Area,land_area,res_treey,res_grassy,street_treey,park_treey,park_grassy,other_treey,other_grassy,total_treey,total_grassy,totally,median_year_built
36081032000,1040174,13031,40.6612148,-73.7652124,NYC,4626,0.44973545,0.55026455,491400,1926,,0.14029399,0.075875486,32.2,0.063986165,0.757674016,0.012319712,0.037613489,0.114785992,0.138340921,0.149965683,0.371654084,0.111873713,0.088538092,80644,1.040174,4447.33285,82921.89977,83523.24271,43485.36407,29196.84563,33963.4318,13387.70832,35843.73242,1053132.627,1040174,0.079719258,0.080297376,0.041805856,0.028069194,0.032651683,0.012870643,0.034459362,0.162464951,0.147408421,0.309873372,1955
36081032700,150852,0,40.7584364,-73.8854176,NYC,3328,0.659574468,0.340425532,829400,1620,1463,0.143028846,0.167668269,36.2,0.224459135,0.014122596,0.008046818,0.330528846,0.555889423,0.196960486,0.205106015,0.437472955,0.113370835,0.040242319,49323,0.150852,22061.35815,12036.49314,1824.90321,14222.68383,0,0,1299.029209,2231.15091,150843.7846,150852,0.07979008,0.012097309,0.094282368,0,0,0.008611283,0.01479033,0.182683731,0.026887639,0.20957137,1939
36081032800,368019,0,40.6718373,-73.7556979,NYC,2734,0.469267139,0.530732861,473000,1681,1363,0.136795903,0.114850037,34.6,0.011704462,0.860277981,0,0.049012436,0.082297001,0.060730253,0.115426696,0.300875274,0.195842451,0.044310722,78125,0.368019,7428.964265,65301.5079,44637.46971,24985.03646,3856.141714,11179.84038,6453.397271,14613.67718,367991.6822,368019,0.177440588,0.12129121,0.067890616,0.010478105,0.030378433,0.0175355,0.039709029,0.273344809,0.191378671,0.464723481,1958
36081032900,436915,0,40.7644351,-73.8827319,NYC,3390,0.408900084,0.591099916,703300,2120,,0.095870206,0.150737463,35.6,0.377581121,0.055457227,0.004411359,0.234513274,0.572861357,0.084319527,0.174404522,0.404521599,0.120306823,0.069842551,58563,0.436915,7758.946248,26729.65357,12777.53391,29447.33828,7625.574432,6907.013775,5282.825833,8937.449418,436895.3198,436915,0.061178155,0.029244896,0.067398323,0.017453222,0.015808598,0.012091198,0.020455808,0.158120898,0.065509303,0.223630201,1948
36081033000,817316,0,40.6701348,-73.7637361,NYC,7254,0.402383135,0.597616865,479700,1735,,0.105045492,0.142404191,36.4,0.012406948,0.893851668,,0.002894955,0.062034739,0.067560099,0.070319241,0.349870578,0.122088007,0.062338223,85445,0.817316,8875.392137,113775.0478,115091.7399,76786.43549,0,0,14987.81043,34138.45551,817262.1506,817316,0.139205702,0.140816697,0.093949507,0,0,0.01833784,0.04176898,0.25149305,0.182585677,0.434078727,1953
36081033401,560656,0,40.6791764,-73.7674364,NYC,3713,0.550218341,0.449781659,567200,1481,1007,0.164826286,0.123889039,36.6,0.014543496,0.827632642,0.003219131,0.033396176,0.151898734,0.08718229,0.095973973,0.337942253,0.146807645,0.110207401,83897,0.560656,6622.599241,53341.28655,50254.28574,42114.07737,59574.69989,4180.497586,33758.70222,23149.69606,560618.298,560656,0.095140847,0.089634795,0.075115717,0.106258918,0.00745644,0.060212862,0.041290374,0.336728343,0.138381609,0.475109952,1986
36081033403,254794,0,40.6775247,-73.7756657,NYC,4349,0.817674818,0.182325182,,988,890,0.141871695,0.2825937,52.2,0.008967579,0.908944585,0,0,0.054955162,0.096774194,0.12605042,0.291116447,0.159663866,0.120348139,46400,0.254794,17068.69079,7494.708078,2940.880095,9234.508014,3332.676297,4661.411366,56926.86409,20379.02251,254777.724,254794,0.029414775,0.011542187,0.036243036,0.013079885,0.018294824,0.223423095,0.079982349,0.302160791,0.10981936,0.41198015,1964
36081033404,230944,0,40.6749568,-73.772333,NYC,5220,0.84,0.16,,1080,862,0.100191571,0.222988506,41.5,0.013984674,0.97164751,0,0,0,0.105555556,0.119459459,0.258648649,0.239189189,0.078108108,41010,0.230944,22602.88208,0,0,4999.415876,9683.307351,8572.950493,75395.07725,29570.17603,230928.6792,230944,0,0,0.021647741,0.041929244,0.037121339,0.326464759,0.12804046,0.390041744,0.165161799,0.555203543,1964
36081033405,272027,0,40.6734383,-73.7677525,NYC,2603,0.664122137,0.335877863,500000,943,809,0.07645025,0.27506723,50.8,0.085286208,0.74490972,0.052167242,0.03457549,0.157126393,0.01997695,0.157649254,0.250466418,0.223880597,0.110074627,59154,0.272027,9568.903087,27506.02022,21749.50636,25813.58909,2038.464254,494.5624184,30283.91952,16366.32289,272007.3647,272027,0.101115037,0.079953484,0.094893481,0.00749361,0.001818064,0.111326889,0.060164333,0.314829017,0.14193588,0.456764897,1963
36081033700,150842,0,40.7587306,-73.882628,NYC,2607,0.606542056,0.393457944,854500,2192,,0.077100115,0.139624089,44.4,0.448791715,0,0,0.274645186,0.623705409,0.026467204,0.281412253,0.38317757,0.203530633,0.042575286,111347,0.150842,17282.98485,12366.46904,4666.228532,14128.74909,0,0,1561.564779,3070.943588,150833.4644,150842,0.081982929,0.030934544,0.093665883,0,0,0.010352321,0.020358677,0.186001133,0.051293222,0.237294355,1941
