Geography,city,pop_o16,med_hou_inc_1999,total_pop,Shape_Length,Shape_Area,asian,black,hispanic,white,pop,pop_dens_area,rent_t,rent_occ
24510160600,Baltimore,3097,23362,4121,3189.273825,558812.0156,0,0.974035428,0,0,4121,0.007374573,715,0.468545216
24510271802,Baltimore,2878,23536,3934,2973.27759,530252.538,0,0.986019319,0,0,3934,0.007419106,578,0.469155844
24510010500,Baltimore,1731,37670,1966,1789.896651,155236.6125,0,0,0,0.825534079,1966,0.012664538,461,0.472820513
24510120700,Baltimore,1845,29654,2297,5206.908606,1050492.663,0,0.322159338,0,0.634740966,2297,0.002186593,448,0.473572939
24510200500,Baltimore,2605,22451,3528,3755.429033,670974.2331,0,0.326814059,0,0.616496599,3528,0.005258026,614,0.47560031
24510130805,Baltimore,789,40114,943,5802.889796,1659325.243,0,0.730646872,0,0,943,0.000568303,241,0.476284585
24510150500,Baltimore,1141,21071,1471,4209.571824,959227.7745,0,0.983004759,0,0,1471,0.001533525,287,0.479131886
24510080500,Baltimore,1746,26688,2293,2672.292554,349172.989,0,0.969908417,0,0,2293,0.006566946,335,0.47925608
24510090800,Baltimore,3192,27917,4169,3784.760285,844855.2657,0,0.961141761,0,0,4169,0.004934573,648,0.480355819
24510151000,Baltimore,4512,28529,5927,5771.709536,1484485.877,0,0.975873123,0,0,5927,0.003992628,1018,0.482235907
24510090500,Baltimore,1560,27076,2086,4720.285678,741566.7199,0,0.869606903,0,0,2086,0.002812963,363,0.482712766
24510270802,Baltimore,4064,37846,5287,4385.51887,1099764.914,0,0.854738037,0,0,5287,0.004807391,1071,0.491509867
24510020100,Baltimore,1772,32593,2008,1851.018938,174528.3534,0,0,0,0.716633466,2008,0.011505294,456,0.499452355
24510080600,Baltimore,2497,15783,3459,2503.021185,336815.2469,0,0.983521249,0,0,3459,0.010269725,596,0.505084746
24510210200,Baltimore,2463,21033,3449,8113.129512,2354107.924,0,0.375181212,0,0.53928675,3449,0.001465099,662,0.506891271
24510070200,Baltimore,2682,26902,3993,2475.292814,311130.0292,0,0.92912597,0,0,3993,0.012833862,608,0.51092437
24510260800,Baltimore,1992,25065,2515,2232.22237,311692.5595,0,0,0,0.781709742,2515,0.008068848,537,0.51094196
24510270702,Baltimore,1803,32625,2398,5347.198555,855121.7999,0,0.551292744,0,0.403252711,2398,0.002804279,514,0.511442786
24510151300,Baltimore,3791,19981,5386,4733.337971,927353.671,0,0.974563684,0,0,5386,0.005807924,949,0.525470653
24510130700,Baltimore,4271,34943,4837,4823.356662,1061074.031,0,0,0,0.900144718,4837,0.004558589,1437,0.531042129
24510280403,Baltimore,4164,40857,5463,5805.631848,1831550.607,0,0.647080359,0,0.309170785,5463,0.002982719,1181,0.531264058
24510150600,Baltimore,2936,20833,3886,5602.732724,958992.6641,0,0.96731858,0,0,3886,0.004052169,766,0.531944444
24510030200,Baltimore,936,39706,1098,3583.55147,593430.8178,0,0,0,0.733151184,1098,0.001850258,271,0.535573123
24510020200,Baltimore,1817,45588,2202,1921.592098,197550.1481,0,0,0.268392371,0.648955495,2202,0.011146537,489,0.546979866
24510271101,Baltimore,4091,30833,4283,4059.158141,1011921.125,0,0.184216671,0,0.7441046,4283,0.004232543,533,0.550619835
24510271600,Baltimore,3794,26393,5315,3814.119405,850267.1665,0,0.979492004,0,0,5315,0.006250976,976,0.551101073
24510260202,Baltimore,4456,27031,5874,4668.205256,1020866.286,0,0.833333333,0,0.126830099,5874,0.005753937,1404,0.551236749
24510150400,Baltimore,2979,20467,3777,4032.653283,815544.056,0,0.943076516,0,0,3777,0.004631264,779,0.551309271
24510060200,Baltimore,2407,24359,3548,2030.862451,257722.8558,0,0.677001127,0,0.206877114,3548,0.013766726,664,0.553794829
24510250500,Baltimore,4020,21515,5290,17431.61208,12479424.57,0,0.251795841,0,0.705860113,5290,0.000423898,1189,0.555607477
24510230100,Baltimore,1360,32326,1800,2416.014751,325982.618,0,0.437222222,0,0.548333333,1800,0.005521767,437,0.569010417
24510080200,Baltimore,1755,17284,2506,4448.744133,861006.1802,0,0.981644054,0,0,2506,0.002910548,467,0.571603427
24510120100,Baltimore,4382,40119,4702,4920.914915,1028579.999,0.094002552,0,0,0.773713313,4702,0.004571351,1646,0.575122292
24510250402,Baltimore,2967,22948,4341,3745.929447,690899.2452,0,0.31075789,0,0.623358673,4341,0.006283116,983,0.575864089
24510270803,Baltimore,5053,32632,6346,6634.556459,2176748.896,0,0.792625276,0,0.154427986,6346,0.002915357,1665,0.576323988
24510160400,Baltimore,2604,20840,3504,2940.384655,400935.1918,0,0.997716895,0,0,3504,0.008739567,683,0.576858108
24510250203,Baltimore,1272,22240,1873,5589.952074,1284808.108,0,0.991457555,0,0,1873,0.001457805,419,0.577931034
24510010400,Baltimore,2097,45069,2275,4470.663051,929543.7788,0,0,0,0.834285714,2275,0.002447437,738,0.582478295
24510080700,Baltimore,1225,19476,1699,2384.91424,298327.3919,0,0.974102413,0,0,1699,0.005695085,320,0.58287796
24510280302,Baltimore,1810,26432,2449,5624.099941,968618.9718,0,0.946917109,0,0,2449,0.002528342,604,0.583011583
24510070300,Baltimore,1210,20348,1798,2118.167644,228677.4276,0,0.887652948,0,0,1798,0.007862604,330,0.583038869
24510200400,Baltimore,1487,22386,2003,3204.022155,387885.4136,0,0.929605592,0,0,2003,0.005163896,370,0.585443038
24510020300,Baltimore,2280,47917,2397,4310.562234,1046786.493,0,0,0,0.886942011,2397,0.002289865,847,0.587378641
24510190200,Baltimore,1765,27643,2276,2759.168921,282060.1935,0,0.388400703,0,0.560193322,2276,0.0080692,509,0.588439306
24510272002,Baltimore,5056,36025,6337,6642.905726,1614632.724,0,0.101151965,0,0.881963074,6337,0.003924732,1824,0.594330401
24510080400,Baltimore,1270,19148,1763,2092.46374,250967.1602,0,1,0,0,1763,0.007024823,341,0.599297012
24510130400,Baltimore,1836,24880,2384,7241.239733,2811924.414,0,0.96057047,0,0,2384,0.000847818,547,0.601098901
24510200100,Baltimore,1639,23456,2142,2103.510789,265121.0392,0,0.949112979,0,0,2142,0.008079329,459,0.601572739
24510270804,Baltimore,2182,33718,2552,3638.650595,713512.1142,0,0.360893417,0,0.610893417,2552,0.003576674,858,0.603375527
24510151200,Baltimore,3819,18871,5060,3621.464006,777254.101,0,0.987944664,0,0,5060,0.006510098,1147,0.607521186
24510220100,Baltimore,3809,51489,4008,5532.315461,1441618.534,0,0.176646707,0,0.772205589,4008,0.002780208,1298,0.609675904
24510150200,Baltimore,2395,20308,3193,2780.58052,419689.5364,0,0.963044159,0,0,3193,0.007608005,711,0.616117851
24510190300,Baltimore,1893,20360,2676,3517.128077,375922.3538,0,0.617713004,0,0.33632287,2676,0.007118491,598,0.617768595
24510130300,Baltimore,2097,18781,2855,2897.611408,358294.7294,0,0.959369527,0,0,2855,0.0079683,705,0.628902765
24510150800,Baltimore,3996,26235,5233,5084.23092,1090366.351,0,0.977068603,0,0,5233,0.004799304,1289,0.632793324
24510272001,Baltimore,6088,28333,7747,6388.486671,1533255.797,0,0.406867174,0,0.519943204,7747,0.005052647,2251,0.63876277
24510090900,Baltimore,2141,16076,3043,3318.543205,687307.087,0,0.984554716,0,0,3043,0.004427424,721,0.641459075
24510080800,Baltimore,1594,15429,2257,2463.42289,327441.5857,0,0.944616748,0,0,2257,0.006892832,505,0.644132653
24510060300,Baltimore,1409,20720,1900,1760.123026,187101.13,0,0.737894737,0,0.246842105,1900,0.010154936,468,0.650904033
24510260201,Baltimore,3793,27566,4847,5360.762938,1635818.891,0,0.698163813,0,0.276047039,4847,0.002963042,1449,0.653880866
24510180300,Baltimore,1724,24223,2081,2466.571342,289545.7085,0,0.567515617,0,0.344065353,2081,0.007187121,574,0.665121669
24510150100,Baltimore,2297,16702,3336,2549.482209,369331.0615,0,0.96882494,0,0,3336,0.009032547,841,0.665348101
24510250302,Baltimore,1355,15943,2201,4557.666838,756838.6022,0,0.980917765,0,0,2201,0.00290815,473,0.670921986
24510140300,Baltimore,2144,20465,2741,2756.377621,390707.3014,0,0.983217804,0,0,2741,0.007015482,799,0.688199828
24510120300,Baltimore,3146,26263,3961,2639.341808,403779.4888,0,0.693006816,0,0.261802575,3961,0.00980981,1181,0.688629738
24510160200,Baltimore,1783,19514,2520,2783.151351,374055.4683,0,0.969047619,0,0,2520,0.006736969,637,0.693899782
24510090400,Baltimore,1151,14718,1700,2441.102404,352373.4109,0,0.842352941,0,0,1700,0.004824428,465,0.69924812
24510200300,Baltimore,1600,18804,2295,2339.37984,238654.2614,0,0.561655773,0,0.374291939,2295,0.009616422,547,0.699488491
24510190100,Baltimore,1883,18000,2644,2474.177561,383110.6634,0,0.940620272,0,0,2644,0.0069014,741,0.709770115
24510260402,Baltimore,1429,22355,2001,6017.234546,1355932.006,0,0.949025487,0,0,2001,0.001475738,644,0.722783389
24510280404,Baltimore,2968,19713,4050,4158.306672,850817.6279,0,0.935802469,0,0,4050,0.004760127,1240,0.724722385
24510060400,Baltimore,1508,18583,2226,2648.43726,430513.3158,0,0.856693621,0,0,2226,0.005170572,636,0.727688787
24510180200,Baltimore,1022,21154,1238,1996.331085,234696.7079,0,0.96365105,0,0,1238,0.005274893,344,0.730360934
24510160300,Baltimore,1192,22036,1639,2545.455603,255626.6464,0,0.969493594,0,0,1639,0.006411695,392,0.73271028
24510120400,Baltimore,1330,20724,1831,2120.254325,276029.5501,0,0.908793009,0,0,1831,0.006633348,490,0.748091603
24510130200,Baltimore,2122,27356,3088,3037.866566,350243.1389,0,0.907707254,0,0,3088,0.008816732,912,0.748154225
24510070400,Baltimore,1339,13971,1950,2459.568995,326971.3532,0,0.978461538,0,0,1950,0.005963825,492,0.758089368
24510140100,Baltimore,5317,22271,5648,3771.927084,683890.9718,0,0.36296034,0,0.561791785,5648,0.008258626,2302,0.781929348
24510120200,Baltimore,8084,21961,8511,5330.805868,1340434.203,0.185759605,0.123839737,0,0.635647985,8511,0.006349435,3033,0.802380952
24510160100,Baltimore,2348,17245,3208,2852.253228,382616.8134,0,0.997817955,0,0,3208,0.008384368,1172,0.807718815
24510260604,Baltimore,1461,8365,2651,3009.968273,503641.479,0,0.700113165,0,0.274236137,2651,0.005263665,783,0.808884298
24510260303,Baltimore,1161,11840,1750,5577.157362,1217343.659,0,0.743428571,0,0,1750,0.001437556,577,0.809256662
24510250207,Baltimore,1535,21464,2169,5163.330207,1297564.036,0,0.981558322,0,0,2169,0.001671594,706,0.813364055
24510130100,Baltimore,2374,19448,2965,3371.961094,312719.435,0,0.876559865,0,0,2965,0.009481342,1214,0.813672922
24510120500,Baltimore,1356,15335,1679,3447.810768,526806.2329,0,0.914234663,0,0,1679,0.00318713,629,0.821148825
24510260403,Baltimore,1367,33879,1847,7935.052541,1683216.799,0,0.966432052,0,0,1847,0.001097304,623,0.829560586
24510100200,Baltimore,2688,11546,3467,2349.646557,304881.9996,0,0.953562157,0,0,3467,0.011371613,986,0.834179357
24510140200,Baltimore,2165,20714,3336,2631.525171,395210.6641,0,0.964328537,0,0,3336,0.008441068,988,0.843723313
24510280301,Baltimore,3188,24575,4376,9471.088154,3232946.054,0,0.85214808,0,0.138939671,4376,0.001353564,1608,0.846315789
24510030100,Baltimore,1702,11119,2427,2731.056043,427336.2275,0,0.768850433,0,0.155747837,2427,0.005679369,921,0.868867925
24510120600,Baltimore,2672,12281,2848,3456.545605,503791.6798,0,0.456109551,0,0.419241573,2848,0.00565313,1488,0.876325088
24510170300,Baltimore,1202,10408,1535,2220.98404,305815.6508,0,0.996742671,0,0,1535,0.005019364,665,0.877308707
24510170100,Baltimore,1343,19922,1680,2469.320816,280178.7576,0,0.80297619,0,0.189880952,1680,0.005996172,714,0.886956522
24510250204,Baltimore,2233,13750,3639,6014.564553,861680.0094,0,0.969497115,0,0,3639,0.004223145,1145,0.891744548
